,rank,School,Location,MedianVCE Score,VCE40+%
0,1,Haileybury Girls College,Keysborough,37,37.2
1,2,Bialik College,Hawthorn East,37,32.6
2,3,Ballarat Clarendon College,Ballarat,37,32.5
3,4,St Catherines School,Toorak,37,32.2
4,5,Huntingtower School,Mount Waverley,37,31.6
5,6,Macrobertson Girls High School,Melbourne,37,31.4
6,7,Leibler Yavneh College,Elsternwick,37,29.4
7,8,Lauriston Girls School,Armadale,36,33.7
8,9,Mount Scopus Memorial College,Burwood,36,31.9
9,10,Presbyterian Ladies College,Burwood,36,30.4
10,11,Melbourne High School,South Yarra,36,30.2
11,12,Methodist Ladies College,Kew,36,29.7
12,13,Fintona Girls School,Balwyn,36,27.8
13,14,Korowa Anglican Girls School,Glen Iris,36,27.2
14,15,Ruyton Girls School,Kew,36,27.1
15,16,Nossal High School,Berwick,36,26.9
16,17,The King David School,Armadale,36,26.8
17,18,Haileybury College,Keysborough,35,29.2
18,19,Ivanhoe Girls Grammar School,Ivanhoe,35,25.5
19,20,Victorian College for the Deaf,Melbourne,35,25
20,21,Loreto Mandeville Hall,Toorak,35,24.7
21,22,Melbourne Grammar School,Melbourne,35,24.5
22,23,Camberwell Girls Grammar School,Canterbury,35,24.1
23,24,Shelford Girls Grammar,Caulfield,35,23
24,25,St Kevins College,Toorak,35,22
25,26,Strathcona Baptist Girls Grammar School,Canterbury,35,20.5
26,27,Lowther Hall Anglican Grammar School,Essendon,35,19.9
27,28,John Monash Science School,Clayton,35,18.7
28,29,Sacre Coeur,Glen Iris,35,18.6
29,30,Yeshivah College,St Kilda East,35,14.3
30,31,Alice Miller School Macedon,Macedon,35,14.2
31,32,Trinity Grammar School,Kew,34,21.7
32,33,Beth Rivkah Ladies College,St Kilda East,34,20.9
33,34,Scotch College,Hawthorn,34,20.9
34,35,Mentone Grammar School,Mentone,34,19.9
35,36,Caulfield Grammar School Wheelers Hill,Wheelers Hill,34,19.6
36,37,Mentone Girls Grammar School,Mentone,34,19.5
37,38,Caulfield Grammar School Caulfield,St Kilda East,34,19.4
38,39,Penleigh and Essendon Grammar School,Keilor East,34,19
39,40,Yarra Valley Grammar School,Ringwood,34,18.9
40,41,Melbourne Girls Grammar,South Yarra,34,18.4
41,42,Genazzano F.C.J. College,Kew,34,18.2
42,43,Firbank Grammar School,Brighton,34,18.1
43,44,St Margarets School,Berwick,34,17.8
44,45,Brighton Grammar School,Brighton,34,17.7
45,46,Goulburn Valley Grammar School,Shepparton,34,17.4
46,47,Carey Baptist Grammar School,Kew,34,17.2
47,48,Suzanne Cory High School,Werribee,34,17.2
48,49,Siena College,Camberwell,34,16.8
49,50,St Leonards College,Brighton East,34,16.8
50,51,Kilvington Grammar School,Ormond,34,14.5
51,52,Toorak College,Mount Eliza,34,14.3
52,53,St Michaels Grammar School,St Kilda,34,13.8
53,54,Girton Grammar School,Bendigo,33,18.2
54,55,Star of the Sea College,Brighton,33,17.6
55,56,Camberwell Grammar School,Canterbury,33,17.1
56,57,East Doncaster Secondary College,Doncaster East,33,16.7
57,58,The Knox School,Wantirna South,33,16.1
58,59,Melbourne Girls College,Richmond,33,16
59,60,The Geelong College,Newtown,33,15.6
60,61,Victorian College of the Arts Secondary School,Southbank,33,15.4
61,62,Waverley Christian College,Wantirna South,33,14.8
62,63,Peninsula Grammar,Mount Eliza,33,14.7
63,64,Canterbury Girls Secondary College,Canterbury,33,13.7
64,65,Westbourne Grammar School,Truganina,33,13.4
65,66,Xavier College,Kew,33,13.1
66,67,St Andrews Christian College,Wantirna South,33,12.3
67,68,Ivanhoe Grammar School Plenty,Doreen,33,12
68,69,Ashwood High School,Ashwood,33,10.8
69,70,East Loddon P-12 College,Dingee,33,9.5
70,71,Wycheproof P-12 College,Wycheproof,33,9.1
71,72,Apollo Bay P-12 College,Apollo Bay,33,5.4
72,73,Mernda Central P-12 College,Mernda,33,5.3
73,74,Balwyn High School,Balwyn North,32,16.9
74,75,Melbourne Rudolf Steiner School,Warranwood,32,13.8
75,76,Ballarat Grammar School,Wendouree,32,13.3
76,77,Box Hill High School,Box Hill,32,13.1
77,78,Sacred Heart College Geelong,Newtown,32,12.8
78,79,Mater Christi College,Belgrave,32,12.7
79,80,St Columbas College,Essendon,32,12.7
80,81,McKinnon Secondary College,McKinnon,32,12.6
81,82,Glen Waverley Secondary College,Glen Waverley,32,12.5
82,83,Kardinia International College,Bell Post Hill,32,11.9
83,84,Kingswood College,Box Hill,32,11.5
84,85,Braemar College,Woodend,32,11.4
85,86,Oneschool Global Vic,Epping,32,11.2
86,87,Mazenod College,Mulgrave,32,11
87,88,Santa Maria College,Northcote,32,10.8
88,89,St Aloysius College,North Melbourne,32,10.8
89,90,Geelong Grammar School,Corio,32,10.6
90,91,Ivanhoe Grammar School Ridgeway,Ivanhoe,32,10.3
91,92,Williamstown High School,Williamstown,32,10
92,93,Our Lady of Mercy College,Heidelberg,32,9.8
93,94,Wesley College St Kilda Rd,Melbourne,32,9.6
94,95,Luther College,Croydon Hills,32,9.5
95,96,Cranbourne East Secondary College,Cranbourne East,32,9.4
96,97,Donvale Christian College,Donvale,32,9.4
97,98,Our Lady of Sion College,Box Hill,32,9.3
98,99,Oxley Christian College,Chirnside Park,32,9.2
99,100,Koonung Secondary College,Mont Albert North,32,9.1
100,101,Eltham College of Education,Research,32,8.9
101,102,Sacred Heart Girls College,Hughesdale,32,8.8
102,103,Princes Hill Secondary College,Princes Hill,32,8.5
103,104,Balcombe Grammar School,Mount Martha,32,8.4
104,105,Woodleigh School,Langwarrin South,32,8.2
105,106,Avila College,Mount Waverley,32,7.2
106,107,Maranatha Christian School,Endeavour Hills,32,6.8
107,108,Narre Warren South P-12 College,Narre Warren South,32,6.1
108,109,Little Yarra Steiner School,Yarra Junction,32,5.6
109,110,Mortlake College,Mortlake,32,5.1
110,111,Derrinallum P-12 College,Derrinallum,32,0
111,112,Boort District P-12 School,Boort,31,15.6
112,113,University High School,Parkville,31,13.3
113,114,Lighthouse Christian College Cranbourne,Cranbourne,31,12.4
114,115,Braybrook College,Braybrook,31,12.3
115,116,Haileybury Rendall School,"Berrimah, NT",31,12
116,117,Loreto College,Ballarat,31,10.9
117,118,Auburn High School,Hawthorn East,31,10.6
118,119,De La Salle College,Malvern,31,10.3
119,120,Northcote High School,Northcote,31,10.3
120,121,Corryong College,Corryong,31,10
121,122,Frankston High School,Frankston,31,10
122,123,Kilbreda College,Mentone,31,9.9
123,124,Vermont Secondary College,Vermont,31,9.8
124,125,Newhaven College,Rhyll,31,9.6
125,126,Southern Cross Grammar,Caroline Springs,31,9.6
126,127,Dromana Secondary College,Dromana,31,9.5
127,128,Foster Secondary College,Foster,31,9.5
128,129,St Josephs College Ferntree Gully,Ferntree Gully,31,9.2
129,130,Whitefriars College,Donvale,31,9.2
130,131,Bacchus Marsh Grammar,Bacchus Marsh,31,9.1
131,132,Nunawading Christian College,Nunawading,31,9.1
132,133,Salesian College Chadstone,Chadstone,31,8.5
133,134,Casey Grammar School,Cranbourne East,31,8.3
134,135,Our Lady of Sacred Heart College,Bentleigh,31,8.3
135,136,St Josephs College Geelong,Newtown,31,8.3
136,137,St Pauls Anglican Grammar School,Warragul,31,8.3
137,138,Sirius College Meadow Fair Campus,Broadmeadows,31,8
138,139,Altona College,Altona,31,7.7
139,140,Catholic Ladies College,Eltham,31,7.7
140,141,Gippsland Grammar,Sale,31,7.6
141,142,Aquinas College,Ringwood,31,7.5
142,143,Saint Ignatius College,Drysdale,31,6.9
143,144,Wesley College Glen Waverley,Glen Waverley,31,6.9
144,145,Darul Ulum College of Victoria,Fawkner,31,6.8
145,146,Mount St Joseph Girls College,Altona,31,6.5
146,147,Kambrya College,Berwick,31,6.4
147,148,Dimboola Memorial Secondary College,Dimboola,31,6.3
148,149,Islamic College of Melbourne,Tarneit,31,5.9
149,150,Sirius College Broadmeadows Campus,Broadmeadows,31,5.9
150,151,Ave Maria College,Aberfeldie,31,5.8
151,152,Hillcrest Christian College,Clyde North,31,5.8
152,153,Billanook College,Mooroolbark,31,5.4
153,154,Glen Eira College,Caulfield East,31,5.2
154,155,Alphington Grammar School,Alphington,31,5
155,156,Mount Hira College,Keysborough,31,5
156,157,The Hamilton and Alexandra College,Hamilton,31,3.7
157,158,Yesodei Hatorah College Billilla Campus,Brighton,31,3.1
158,159,Mallacoota P-12 College,Mallacoota,31,2.6
159,160,Cobden Technical School,Cobden,31,0
160,161,Sherbrooke Community School,Sassafras,30,20
161,162,Holy Trinity Lutheran College,Horsham,30,19.3
162,163,Hopetoun P-12 College,Hopetoun,30,13.3
163,164,Victory Lutheran College,Wodonga,30,11.3
164,165,Covenant College,Bell Post Hill,30,9.6
165,166,Kerang Technical High School,Kerang,30,9.3
166,167,Brunswick Secondary College,Brunswick,30,9.2
167,168,Albert Park College,Albert Park,30,9
168,169,Berwick Grammar School,Officer,30,8.9
169,170,Marcellin College,Bulleen,30,8.5
170,171,Heritage College Officer,Officer,30,8.3
171,172,Kew High School,Kew East,30,8.3
172,173,Mount Waverley Secondary College,Mount Waverley,30,8.3
173,174,St Albans Secondary College,St Albans,30,8.2
174,175,Donald High School,Donald,30,7.7
175,176,Emmaus College,Vermont South,30,7.7
176,177,Camberwell High School,Canterbury,30,7.6
177,178,Parkdale Secondary College,Mordialloc,30,7.5
178,179,Simonds Catholic College,Fitzroy North,30,7.3
179,180,Belgrave Heights Christian School,Belgrave Heights,30,7.2
180,181,Strathmore Secondary College,Strathmore,30,7.2
181,182,Tintern Grammar,Ringwood East,30,7.2
182,183,Mentone Girls Secondary College,Mentone,30,7.1
183,184,Ringwood Secondary College,Ringwood,30,7
184,185,Lighthouse Christian College,Keysborough,30,6.6
185,186,Templestowe College,Templestowe Lower,30,6.6
186,187,Academy of Mary Immaculate,Fitzroy,30,6.5
187,188,Mount Eliza Secondary College,Mount Eliza,30,6.5
188,189,Northside Christian College,Bundoora,30,6.5
189,190,Parade College,Bundoora,30,6.5
190,191,St Bedes College,Mentone,30,6.4
191,192,Highvale Secondary College,Glen Waverley,30,6.3
192,193,Swifts Creek P-12 School,Swifts Creek,30,6.3
193,194,Geelong Lutheran College,Armstrong Creek,30,6.2
194,195,Bayside Christian College,Langwarrin South,30,6
195,196,Killester College,Springvale,30,6
196,197,Christian College Geelong Waurun Ponds,Waurn Ponds,30,5.9
197,198,Sandringham College,Sandringham,30,5.9
198,199,Beaconhills College Pakenham,Pakenham,30,5.7
199,200,Nazareth College,Noble Park North,30,5.6
200,201,Cheltenham Secondary College,Cheltenham,30,5.5
201,202,Hume Anglican Grammar,Mickleham,30,5.3
202,203,St Bernards College,Essendon,30,5.3
203,204,Loyola College,Watsonia,30,5.1
204,205,Bayside College Paisley Campus,Newport,30,5
205,206,Al Siraat College,Epping,30,4.6
206,207,Cathedral College,Wangaratta,30,4.4
207,208,Holmes Grammar School,Melbourne,30,4.4
208,209,MacKillop Catholic Regional College,Werribee,30,4.3
209,210,Horsham College,Horsham,30,4.1
210,211,Marymede Catholic College,South Morang,30,4.1
211,212,Overnewton Anglican College,Keilor,30,4.1
212,213,Mount Lilydale Mercy College,Lilydale,30,4
213,214,Viewbank College,Viewbank,30,3.9
214,215,Sacred Heart College Kyneton,Kyneton,30,3.7
215,216,Cornish College,Bangholme,30,3.2
216,217,Tyrrell College,Sea Lake,30,3.1
217,218,Oberon High School,Armstrong Creek,30,3
218,219,Kings College,Warrnambool,30,2.9
219,220,F.C.J. College,Benalla,30,2.7
220,221,Sunbury Downs Secondary College,Sunbury,30,2.7
221,222,Birchip P-12 School,Birchip,30,2.4
222,223,Bannockburn P-12 College,Bannockburn,30,0
223,224,TAFE Gippsland,Morwell,30,0
224,225,Kaniva P-12 College,Kaniva,29,12.9
225,226,Casterton Secondary College,Casterton,29,10.5
226,227,Beechworth Secondary College,Beechworth,29,9.1
227,228,Mullauna College,Mitcham,29,7.9
228,229,Brighton Secondary College,Brighton East,29,7.6
229,230,Mansfield Secondary College,Mansfield,29,7.1
230,231,Daylesford Secondary College,Daylesford,29,6.7
231,232,Elwood College,Elwood,29,6.7
232,233,Berwick Secondary College,Berwick,29,6.4
233,234,Buckley Park College,Essendon,29,6.3
234,235,Thornbury High School,Thornbury,29,6.3
235,236,Coburg Senior High School,Coburg,29,6.1
236,237,Padua College,Mornington,29,6.1
237,238,Clonard College,Herne Hill,29,5.9
238,239,Beaconhills College Berwick,Berwick,29,5.8
239,240,Brentwood Secondary College,Glen Waverley,29,5.7
240,241,Rosehill Secondary College,Niddrie,29,5.4
241,242,Doncaster Secondary College,Doncaster,29,5.3
242,243,Mercy College,Coburg,29,5.2
243,244,Blackburn High School,Blackburn,29,5.1
244,245,Flinders Christian Community College Tyabb,Tyabb,29,5
245,246,Gilson College Taylors Hill,Taylors Hill,29,5
246,247,Maribyrnong Secondary College,Maribyrnong,29,4.9
247,248,Marist Sion College,Warragul,29,4.9
248,249,Mary MacKillop Catholic College,Leongatha,29,4.9
249,250,Werribee Secondary College,Werribee,29,4.9
